config_id,family,ell,alpha,eta_out,corr_out,E_roi,core_ratio,barrier_reduction_pct,pass_hard,J
lg_l3_w0.6_f2.5_cos,lg,3,0.05,0.0074856679774162995,0.9999470184923067,0.06397878530963026,0.4814827194204069,-0.2247259038981264,True,0.3031671373126008
lg_l3_w0.6_f2.5_cos,lg,3,0.1,0.014971335954832602,0.9997886269612556,0.06397878530963026,0.4814827194204069,-0.44990635251582756,True,0.22828669880878005
lg_l3_w0.6_f2.5_cos,lg,3,0.2,0.029942671909665205,0.9991574129095337,0.06397878530963026,0.4814827194204069,-0.901630883909954,False,-1.0
lg_l3_w0.6_f2.5_cos,lg,3,0.4,0.05988534381933041,0.9966598174684388,0.06397878530963026,0.4814827194204069,-1.8105344833330594,False,-1.0
lg_l3_w0.8_cos,lg,3,0.05,0.00848970161058058,0.9999375438788665,0.0638587217114648,0.47837042205304486,-0.43279208219226817,True,0.2930175564552165
lg_l3_w0.8_cos,lg,3,0.1,0.01697940322116116,0.9997516753590686,0.0638587217114648,0.47837042205304486,-0.8660702676212217,True,0.208092660071441
lg_l3_w0.8_cos,lg,3,0.2,0.03395880644232232,0.999016084546342,0.0638587217114648,0.47837042205304486,-1.7340849481892295,False,-1.0
lg_l3_w0.8_cos,lg,3,0.4,0.06791761288464464,0.9961353053948108,0.0638587217114648,0.47837042205304486,-3.475947548165892,False,-1.0
lg_l3_w0.8_f1.5_cos,lg,3,0.05,0.0080518029760043,0.9999377729972769,0.06408448376800685,0.48475981501525356,-0.23232648457085503,True,0.2976127525069316
lg_l3_w0.8_f1.5_cos,lg,3,0.1,0.016103605952008607,0.9997510342963545,0.06408448376800685,0.48475981501525356,-0.46564543366618416,True,0.21706671194175017
lg_l3_w0.8_f1.5_cos,lg,3,0.2,0.03220721190401721,0.999003555729349,0.06408448376800685,0.48475981501525356,-0.933897652452087,False,-1.0
lg_l3_w0.8_f1.5_cos,lg,3,0.4,0.06441442380803442,0.9960277277593346,0.06408448376800685,0.48475981501525356,-1.907099936997314,False,-1.0
lg_l3_w0.8_f2.0_cos,lg,3,0.05,0.008258077036906043,0.9999346387377629,0.06402956950416307,0.4832239278677083,-0.1716698576829323,True,0.2954974160143375
lg_l3_w0.8_f2.0_cos,lg,3,0.1,0.01651615407381209,0.9997388680531457,0.06402956950416307,0.4832239278677083,-0.34386319150156996,True,0.21288728004258442
lg_l3_w0.8_f2.0_cos,lg,3,0.2,0.03303230814762418,0.9989572235950489,0.06402956950416307,0.4832239278677083,-0.6898202875459392,False,-1.0
lg_l3_w0.8_f2.0_cos,lg,3,0.4,0.06606461629524836,0.9958541626333058,0.06402956950416307,0.4832239278677083,-1.3880161932633195,False,-1.0
lg_l3_w0.8_f2.5_cos,lg,3,0.05,0.008359288476292472,0.9999336922823684,0.06399535371548577,0.48225676597858097,-0.23549541655316641,True,0.29445242665776655
lg_l3_w0.8_f2.5_cos,lg,3,0.1,0.016718576952584947,0.999735392897824,0.06399535371548577,0.48225676597858097,-0.4715119096878828,True,0.21082979698716012
lg_l3_w0.8_f2.5_cos,lg,3,0.2,0.03343715390516989,0.9989452881792689,0.06399535371548577,0.48225676597858097,-0.9451081257022764,False,-1.0
lg_l3_w0.8_f2.5_cos,lg,3,0.4,0.06687430781033978,0.9958211826837124,0.06399535371548577,0.48225676597858097,-1.8985534767104628,False,-1.0
lg_l1_w0.6_f2.0_off0.2_cos,lg,1,0.05,0.005521622217035033,0.9999720128708831,0.1495301734934662,0.7903068815049638,-0.4961362604441355,True,0.431209117052618
lg_l1_w0.6_f2.0_off0.2_cos,lg,1,0.1,0.011043244434070069,0.9998882219382526,0.1495301734934662,0.7903068815049638,-0.9936601939019685,True,0.3759803262423731
lg_l1_w0.6_f2.0_off0.2_cos,lg,1,0.2,0.022086488868140138,0.9995550493545342,0.1495301734934662,0.7903068815049638,-1.992805148238097,False,-1.0
lg_l1_w0.6_f2.0_off0.2_cos,lg,1,0.4,0.044172977736280275,0.998240847482523,0.1495301734934662,0.7903068815049638,-4.007483406591961,False,-1.0
lg_l1_w0.6_f2.0_uni,lg,1,0.05,0.006856802769701831,0.9999541416346331,0.24566508936522705,1.0,-1.1422697434165352,True,0.5178413658894834
lg_l1_w0.6_f2.0_uni,lg,1,0.1,0.01371360553940366,0.9998167411175356,0.24566508936522705,1.0,-2.2917573006038694,True,0.44925272811490047
lg_l1_w0.6_f2.0_uni,lg,1,0.2,0.02742721107880733,0.9992689398144684,0.24566508936522705,1.0,-4.612319924670039,False,-1.0
