config_id,family,ell,offset_x_mm,apod,beam_waist_mm,focal_length_mm,k_r,eta_out,corr_out,E_roi,core_ratio,core_min_Pa,peak_roi_Pa,w_1.0lam,w_1.5lam,w_2.0lam,winding_std,centroid_x_mm,centroid_y_mm,core_x_mm,core_y_mm,trap_crosstalk_mean_pct,trap_crosstalk_max_pct,barrier_reduction_pct,pass_hard,J
bg_l1_w0.6_kr4234_cos,bg,1,0.0,cosine_taper,0.6,nan,4233.952363328562,0.01343519011291748,0.9998551229991748,0.13858924234917014,0.7263783664270359,0.0021847506337334703,0.24865830946379625,-1.0,1.0,-3.0,0.9428090415820634,2.975832022906488,3.0472166531395244,2.9659597989949753,2.9659597989949753,0.789722512949227,2.684121559111892,-0.8133160906095283,True,0.27701178083136035
bg_l1_w0.8_kr4234_cos,bg,1,0.0,cosine_taper,0.8,nan,4233.952363328562,0.015089027631305596,0.9998174769296314,0.1573894262684781,0.7695477602685926,0.0009082372537605946,0.3001742390313991,1.0,1.0,-1.0,1.2819751242557092e-16,2.9737718423370927,3.043582246269365,2.9659597989949753,2.9659597989949753,0.8709315762029732,2.8790721177309484,-0.9829092582612997,True,0.40766839580022307
bg_l1_w0.4_kr8468_cos,bg,1,0.0,cosine_taper,0.4,nan,8467.904726657123,0.007873340228300756,0.9999426706739679,0.13153438209532636,0.757667333940198,0.0027353566224087808,0.14594470094898315,0.0,1.0,-4.0,1.699673171197595,2.975338371126818,3.0417178617842806,2.4893969849246234,2.5801708542713575,0.5386155864053046,2.099488240775583,-0.6296677147848317,True,0.3230832771904241
bg_l1_w0.6_kr8468_cos,bg,1,0.0,cosine_taper,0.6,nan,8467.904726657123,0.0109895783902959,0.999886048287839,0.15246215021469955,0.8062614809016746,0.006354380318721077,0.2189781519753352,0.0,1.0,-1.0,0.4714045207910316,2.9719547737248426,3.035447995739214,2.9659597989949753,2.9659597989949753,0.7509406256703006,2.913675707669112,-0.8447781712877189,True,0.37764851979777886
bg_l1_w0.8_kr8468_cos,bg,1,0.0,cosine_taper,0.8,nan,8467.904726657123,0.012939883368110448,0.9998424196454578,0.16172377076212321,0.834000972028205,0.002135859073755308,0.26623182290877123,-0.0,1.0,-1.0,0.47140452079103157,2.969992196711723,3.0325211164700643,3.1475075376884427,2.6936381909547746,0.8764571358280875,3.421734114601592,-0.9324332239335265,True,0.36114781813829544
bg_l1_w0.4_kr12702_cos,bg,1,0.0,cosine_taper,0.4,nan,12701.857089985686,0.004566296857275613,0.999980645006599,0.1320041684229532,0.7841165459326466,0.001680956897663653,0.08477970963553987,-0.0,-0.0,0.0,3.33183967881107e-17,2.977001090000251,3.024074383000576,2.4893969849246234,2.5801708542713575,0.24896382925616983,1.1281533577885983,0.022614875308391014,True,0.5069380839322881
bg_l1_w0.6_kr12702_cos,bg,1,0.0,cosine_taper,0.6,nan,12701.857089985686,0.00576004119772578,0.9999702448204926,0.13807221717371784,0.8105941956621192,0.0014850176743044484,0.11004993127731601,0.0,0.0,0.0,1.1541831212749484e-16,2.973578068936772,3.0182171464952186,2.307849246231156,2.5801708542713575,0.34603181635732,1.3814361750606512,-0.19763961951331233,True,0.4971780339307985
bg_l1_w0.8_kr12702_cos,bg,1,0.0,cosine_taper,0.8,nan,12701.857089985686,0.0064253610543386795,0.9999632172663067,0.13895225674743253,0.8208037381465642,0.0014704224217109603,0.12357149375933987,-0.0,1.0,-0.0,0.4714045207910316,2.9716425387167114,3.016091348886307,2.307849246231156,2.5801708542713575,0.40720777770433403,1.592896941364962,-0.35195441424116236,True,0.4202883515684267
bg_l2_w0.4_kr4234_cos,bg,2,0.0,cosine_taper,0.4,nan,4233.952363328562,0.014669572821520933,0.9997756114748494,0.1444200352988674,0.825128098922432,0.007707542677386428,0.27935845435219553,2.0,1.0,1.0,0.4714045207910317,2.9411459771495725,2.9968456604610236,2.39862311557789,2.5801708542713575,0.9005472044701699,3.969728930291512,-0.9524429270642454,True,0.339293146685141
bg_l2_w0.6_kr4234_cos,bg,2,0.0,cosine_taper,0.6,nan,4233.952363328562,0.024930854188507427,0.9993780101679175,0.14029728461806934,0.8041322564554368,0.0036352329876648977,0.46188029703847183,2.0,2.0,1.0,0.4714045207910318,2.9473833423616886,3.0032913547787587,3.4425226130653273,2.7844120603015083,1.5014779857959,6.6263894364870435,-1.5913035576985646,False,-1.0
bg_l2_w0.8_kr4234_cos,bg,2,0.0,cosine_taper,0.8,nan,4233.952363328562,0.03143575065307643,0.9990279098279429,0.13835517100896236,0.7783969111527428,0.0022017046559462228,0.5831655648800649,2.0,2.0,1.0,0.4714045207910317,2.9508729031543792,3.0061766163291077,3.4425226130653273,2.7844120603015083,1.8630611568715956,8.2904718455483,-1.9632283986405374,False,-1.0
bg_l2_w0.4_kr8468_cos,bg,2,0.0,cosine_taper,0.4,nan,8467.904726657123,0.011275282462534677,0.9999014261260079,0.14396765043679485,0.7950922660295044,0.006994911492016593,0.2108563387289348,2.0,0.0,1.0,0.8164965809277259,2.941778058356255,2.997278792508351,3.056733668341709,1.922060301507538,0.6186004752186185,1.9675944851271785,-0.04947761272138251,True,0.32062712141433186
bg_l2_w0.6_kr8468_cos,bg,2,0.0,cosine_taper,0.6,nan,8467.904726657123,0.0189209053386864,0.9997118835952722,0.141509727559431,0.74872181748275,0.007849784737619818,0.3474437330320252,2.0,-0.0,0.0,0.9428090415820631,2.9460863535686963,2.9996476466799225,3.056733668341709,1.922060301507538,1.1119066286189405,3.0071439129101694,0.28052463383719806,True,0.22342185024204386
bg_l2_w0.8_kr8468_cos,bg,2,0.0,cosine_taper,0.8,nan,8467.904726657123,0.0238869861338674,0.999534801470108,0.14053949653961234,0.7255693364330666,0.008020814457328499,0.435875690523192,2.0,1.0,-0.0,0.816496580927726,2.948170838152995,3.0004453309187107,3.056733668341709,1.922060301507538,1.4078738096423833,4.179526832192554,0.5062625352497019,False,-1.0
bg_l2_w0.4_kr12702_cos,bg,2,0.0,cosine_taper,0.4,nan,12701.857089985686,0.006028868429252389,0.9999616922208163,0.14685878664250882,0.8186234327125728,0.004661858770575928,0.11974398276205096,2.0,1.0,-0.0,0.8164965809277259,2.94093825496246,2.9962665503847963,3.056733668341709,1.922060301507538,0.3757600156350538,1.828088164828258,0.06960365637953547,True,0.3744113648798812
bg_l2_w0.6_kr12702_cos,bg,2,0.0,cosine_taper,0.6,nan,12701.857089985686,0.0087582380115148,0.999919821257021,0.14581546218642052,0.7889349422379734,0.003683581209739754,0.17444062575418057,2.0,1.0,-1.0,0.47140452079103173,2.943740365965616,2.99366480302586,3.4425226130653273,2.7844120603015083,0.536967743638316,2.2583181811400777,-0.015488522284634598,True,0.39787215405730486
bg_l2_w0.8_kr12702_cos,bg,2,0.0,cosine_taper,0.8,nan,12701.857089985686,0.010446678157921547,0.9998916100925083,0.14549161474701777,0.7683677733161811,0.005168132220593738,0.20846697573010073,2.0,1.0,-2.0,0.4714045207910316,2.944944874647183,2.992690587047442,3.4425226130653273,2.7844120603015083,0.6149601488356172,2.41283671563116,-0.11388698908449957,True,0.380388379835665
bg_l3_w0.4_kr4234_cos,bg,3,0.0,cosine_taper,0.4,nan,4233.952363328562,0.0028773207288928333,0.9999928215670231,0.0673206554489549,0.4814264192427156,0.0009893115898518348,0.04173612474888706,1.0,-5.0,1.0,1.8856180831641263,3.137493832813854,2.967749415155318,3.1475075376884427,2.4893969849246234,0.17179104459292113,0.5367434615004301,-0.14884032796915747,True,0.3500915402894318
